"Nro","game.id","Koti","Vieras","Tulos","Merkki","Kerroin"
"1","GERSCO","Saksa","Skotlanti","5-1","1","1.27"
"2","HUNSUI","Unkari","Sveitsi","1-3","2","2.2"
"3","ESPCRO","Espanja","Kroatia","3-0","1","1.8"
"4","ITAALB","Italia","Albania","2-1","1","1.38"
"5","POLNED","Puola","Hollanti","1-2","2","1.66"
"6","SLODEN","Slovenia","Tanska","1-1","X","3.5"
"7","SRBENG","Serbia","Englanti","0-1","2","1.47"
"8","ROMUKR","Romania","Ukraina","3-0","1","3.7"
"9","BELSVK","Belgia","Slovakia","0-1","2","6.75"
"10","AUTFRA","Itävalta","Ranska","0-1","2","1.47"
"11","TURGEO","Turkki","Georgia","3-1","1","1.8"
"12","PORCZE","Portugali","Tshekki","2-1","1","1.53"
"13","CROALB","Kroatia","Albania","2-2","X","4"
"14","GERHUN","Saksa","Unkari","2-0","1","1.33"
"15","SCOSUI","Skotlanti","Sveitsi","1-1","X","3.4"
"16","SLOSRB","Slovenia","Serbia","1-1","X","3.4"
